CFN,Dome9,"Linked Assets"
AWS::EC2::VPNGateway,AwsVpnGateway,"DirectConnectConnection,DirectConnectVirtualInterface"
AWS::EC2::VPNGatewayRoutePropagation,,
AWS::ECR::Repository,,
AWS::ECS::Cluster,EcsCluster,"Instance"
AWS::ECS::Service,EcsCluster,"Instance"
AWS::ECS::TaskDefinition,,
AWS::EFS::FileSystem,Efs,"Subnet,Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags"
AWS::EFS::MountTarget,Efs,"Subnet,Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags"
AWS::EKS::Cluster,,
AWS::ElastiCache::CacheCluster,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElastiCache::ParameterGroup,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElastiCache::ReplicationGroup,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElastiCache::SecurityGroup,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElastiCache::SecurityGroupIngress,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElastiCache::SubnetGroup,AwsElastiCache,"AwsSecurityGroup,Vpc"
AWS::ElasticBeanstalk::Application,,
AWS::ElasticBeanstalk::ApplicationVersion,,
AWS::ElasticBeanstalk::ConfigurationTemplate,,
AWS::ElasticBeanstalk::Environment,,
AWS::ElasticLoadBalancing::LoadBalancer,ELB,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate"
AWS::ElasticLoadBalancingV2::Listener,ApplicationLoadBalancer,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate,WAFRegional"
AWS::ElasticLoadBalancingV2::ListenerCertificate,ApplicationLoadBalancer,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate,WAFRegional"
AWS::ElasticLoadBalancingV2::ListenerRule,ApplicationLoadBalancer,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate,WAFRegional"
AWS::ElasticLoadBalancingV2::LoadBalancer,ApplicationLoadBalancer,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate,WAFRegional"
AWS::ElasticLoadBalancingV2::TargetGroup,ApplicationLoadBalancer,"Vpc,AwsSecurityGroup,Instance,AcmCertificate,IamServerCertificate,WAFRegional"
AWS::Elasticsearch::Domain,,
AWS::EMR::Cluster,,
AWS::EMR::InstanceFleetConfig,,
AWS::EMR::InstanceGroupConfig,,
AWS::EMR::SecurityConfiguration,,
AWS::EMR::Step,,
AWS::Events::Rule,,
AWS::GameLift::Alias,,
AWS::GameLift::Build,,
AWS::GameLift::Fleet,,
AWS::Glue::Classifier,,
AWS::Glue::Connection,,
AWS::Glue::Crawler,,
AWS::Glue::Database,,
AWS::Glue::DevEndpoint,,
AWS::Glue::Job,,
AWS::Glue::Partition,,
AWS::Glue::Table,,
AWS::Glue::Trigger,,
AWS::GuardDuty::Detector,,
AWS::GuardDuty::Filter,,
AWS::GuardDuty::Master,,
AWS::GuardDuty::Member,,
AWS::GuardDuty::IPSet,,
AWS::GuardDuty::ThreatIntelSet,,
AWS::IAM::AccessKey,,
AWS::IAM::Group,IamGroups,"IamPolicy"
AWS::IAM::InstanceProfile,,
AWS::IAM::ManagedPolicy,IamPolicy,"IamGroups,IamRoleAttachedPolices,IamUserAttachedPolicies"
AWS::IAM::Policy,IamPolicy,"IamGroups,IamRoleAttachedPolices,IamUserAttachedPolicies"
AWS::IAM::Role,"IamRole,IamRoleAttachedPolices,IamRoleInlinePolicies","IamPolicy"
AWS::IAM::ServiceLinkedRole,,
AWS::IAM::User,"IamUser,IamUserAttachedPolicies,IamUserGroups,IamUserInlinePolicies","IamPolicy,IamGroups,IamCredentialReport,VirtualMfaDevices"
AWS::IAM::UserToGroupAddition,IamGroups,"IamPolicy"
AWS::Inspector::AssessmentTarget,,
AWS::Inspector::AssessmentTemplate,,
AWS::Inspector::ResourceGroup,,
AWS::IoT::Certificate,,
AWS::IoT::Policy,,
AWS::IoT::PolicyPrincipalAttachment,,
AWS::IoT::Thing,,
AWS::IoT::ThingPrincipalAttachment,,
AWS::IoT::TopicRule,,
AWS::Kinesis::Stream,Kinesis,"KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags"
AWS::KinesisAnalytics::Application,,
AWS::KinesisAnalytics::ApplicationOutput,,
AWS::KinesisAnalytics::ApplicationReferenceDataSource,,
AWS::KinesisFirehose::DeliveryStream,,
AWS::KMS::Alias,"KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags",
AWS::KMS::Key,"KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags",
AWS::Lambda::EventSourceMapping,,
AWS::Lambda::Alias,Lambda,"Vpc,Subnet,IamRole,AwsSecurityGroup,Nacl"
AWS::Lambda::Function,Lambda,"Vpc,Subnet,IamRole,AwsSecurityGroup,Nacl"
AWS::Lambda::Permission,Lambda,"Vpc,Subnet,IamRole,AwsSecurityGroup,Nacl"
AWS::Lambda::Version,Lambda,"Vpc,Subnet,IamRole,AwsSecurityGroup,Nacl"
AWS::Logs::Destination,,
AWS::Logs::LogGroup,,
AWS::Logs::LogStream,,
AWS::Logs::MetricFilter,,
AWS::Logs::SubscriptionFilter,,
AWS::Neptune::DBCluster,,
AWS::Neptune::DBClusterParameterGroup,,
AWS::Neptune::DBInstance,DbInstance,
AWS::Neptune::DBParameterGroup,,
AWS::Neptune::DBSubnetGroup,,
AWS::OpsWorks::App,,
AWS::OpsWorks::ElasticLoadBalancerAttachment,,
AWS::OpsWorks::Instance,,
AWS::OpsWorks::Layer,,
AWS::OpsWorks::Stack,,
AWS::OpsWorks::UserProfile,,
AWS::OpsWorks::Volume,,
AWS::RDS::DBCluster,,
AWS::RDS::DBClusterParameterGroup,,
AWS::RDS::DBInstance,RDS,"Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags"
AWS::RDS::DBParameterGroup,,
AWS::RDS::DBSecurityGroup,,
AWS::RDS::DBSecurityGroupIngress,,
AWS::RDS::DBSubnetGroup,,
AWS::RDS::EventSubscription,,
AWS::RDS::OptionGroup,,
AWS::Redshift::Cluster,RedshiftCluster,"AwsSecurityGroup,Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags,IamRole"
AWS::Redshift::ClusterParameterGroup,,
AWS::Redshift::ClusterSecurityGroup,RedshiftCluster,"AwsSecurityGroup,Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags,IamRole"
AWS::Redshift::ClusterSecurityGroupIngress,RedshiftCluster,"AwsSecurityGroup,Vpc,KMS,KmsKeyRotation,KmsMetadata,KmsPolicies,KmsTags,IamRole"
AWS::Redshift::ClusterSubnetGroup,,
AWS::Route53::HealthCheck,,
AWS::Route53::HostedZone,Route53HostedZone,"Route53RecordSetGroup"
AWS::Route53::RecordSet,Route53HostedZone,
AWS::Route53::RecordSetGroup,Route53HostedZone,
AWS::S3::Bucket,S3Bucket,
AWS::S3::BucketPolicy,S3Bucket,
AWS::SageMaker::Endpoint,,
AWS::SageMaker::EndpointConfig,,
AWS::SageMaker::Model,,
AWS::SageMaker::NotebookInstance,,
AWS::SageMaker::NotebookInstanceLifecycleConfig,,
AWS::SDB::Domain,,
AWS::ServiceCatalog::AcceptedPortfolioShare,,
AWS::ServiceCatalog::CloudFormationProduct,,
AWS::ServiceCatalog::CloudFormationProvisionedProduct,,
AWS::ServiceCatalog::LaunchNotificationConstraint,,
AWS::ServiceCatalog::LaunchRoleConstraint,,
AWS::ServiceCatalog::LaunchTemplateConstraint,,
AWS::ServiceCatalog::Portfolio,,
AWS::ServiceCatalog::PortfolioPrincipalAssociation,,
AWS::ServiceCatalog::PortfolioProductAssociation,,
AWS::ServiceCatalog::PortfolioShare,,
AWS::ServiceCatalog::TagOption,,
AWS::ServiceCatalog::TagOptionAssociation,,
AWS::ServiceDiscovery::Instance,,
AWS::ServiceDiscovery::PrivateDnsNamespace,,
AWS::ServiceDiscovery::PublicDnsNamespace,,
AWS::ServiceDiscovery::Service,,
AWS::SES::ConfigurationSet,,
AWS::SES::ConfigurationSetEventDestination,,
AWS::SES::ReceiptFilter,,
AWS::SES::ReceiptRule,,
AWS::SES::ReceiptRuleSet,,
AWS::SES::Template,,
AWS::SNS::Subscription,,
AWS::SNS::Topic,,
AWS::SNS::TopicPolicy,,
AWS::SQS::Queue,,
AWS::SQS::QueuePolicy,,
AWS::SSM::Association,,
AWS::SSM::Document,,
AWS::SSM::MaintenanceWindow,,
AWS::SSM::MaintenanceWindowTarget,,
AWS::SSM::MaintenanceWindowTask,,
AWS::SSM::Parameter,,
AWS::SSM::PatchBaseline,,
AWS::SSM::ResourceDataSync,,
AWS::StepFunctions::Activity,,
AWS::StepFunctions::StateMachine,,
AWS::WAF::ByteMatchSet,,
AWS::WAF::IPSet,,
AWS::WAF::Rule,,
AWS::WAF::SizeConstraintSet,,
AWS::WAF::SqlInjectionMatchSet,,
AWS::WAF::WebACL,,
AWS::WAF::XssMatchSet,,
AWS::WAFRegional::ByteMatchSet,,
AWS::WAFRegional::IPSet,,
AWS::WAFRegional::Rule,,
AWS::WAFRegional::SizeConstraintSet,,
AWS::WAFRegional::SqlInjectionMatchSet,,
AWS::WAFRegional::WebACL,WAFRegional,"ApplicationLoadBalancer"
AWS::WAFRegional::WebACLAssociation,,
AWS::WAFRegional::XssMatchSet,,
AWS::WorkSpaces::Workspace,,
